icao_id,faa_id,name,lat,lon,elevation_m,state,country,market_group,has_metar,has_taf
KMMH,MMH,Mammoth/Yosemite Arpt,37.62529,-118.83841,2167.0,CA,US,CA,True,True
KMMI,MMI,Athens/McMinn Cnty,35.39519,-84.56116,252.0,TN,US,TN,True,False
KMMK,MMK,Meriden/Markham Muni,41.50968,-72.82781,30.0,CT,US,CT,True,False
KMML,MML,Marshall Muni,44.4504,-95.82149,358.0,MN,US,MN,True,False
KMMS,MMS,Marks/Selfs Arpt,34.231,-90.289,49.0,MS,US,MS,False,False
KMMT,MMT,Columbia/McEntire JNGB,33.922,-80.802,76.0,SC,US,SC,True,True
KMMU,MMU,Morristown Muni,40.79893,-74.41636,55.0,NJ,US,NJ,True,False
KMMV,MMV,McMinnville Muni,45.19571,-123.13378,48.0,OR,US,OR,True,False
KMNE,MNE,Minden/Webster Arpt,32.64329,-93.29716,84.0,LA,US,LA,True,False
KMNF,MNF,Mountain View Arpt,36.993,-91.714,360.0,MO,US,MO,False,False
KMNH,MNH,Mountain Pass Arpt,39.22316,-104.64226,2152.0,CO,US,CO,True,False
KMNI,MNI,Manning/Cooper Rgnl,33.58821,-80.20591,29.0,SC,US,SC,True,False
KMNM,MNM,Menominee/Twin Cnty,45.126,-87.639,188.0,MI,US,MI,True,False
KMNN,MNN,Marion Muni,40.61576,-83.06731,301.0,OH,US,OH,True,False
KMNV,MNV,Madisonville/Monroe Cnty,35.54295,-84.38078,306.0,TN,US,TN,True,False
KMNZ,MNZ,Hamilton Muni,31.66971,-98.14624,397.0,TX,US,TX,True,False
KMO8,MO8,Brookfield,39.77000045776367,-93.01270294189453,843.0,MO,US,MO,False,False
KMOB,MOB,Mobile Rgnl,30.68819,-88.24595,67.0,AL,US,AL,True,True
KMOD,MOD,Modesto/Sham Fld,37.62544,-120.95492,25.0,CA,US,CA,True,True
KMOP,MOP,Mount Pleasant Muni,43.62288,-84.743,229.0,MI,US,MI,True,False
KMOR,MOR,Morristown/Moore Arpt,36.17457,-83.38533,393.0,TN,US,TN,True,False
KMOT,MOT,Minot Intl,48.25205,-101.26895,507.0,ND,US,ND,True,True
KMOX,MOX,Morris Muni,45.56774,-95.96594,346.0,MN,US,MN,True,False
KMP1,,UNK,-99.99,-99.99,9999.0,,US,UNK,False,False
KMPE,MPE,Philadelphia Muni,32.79746,-89.12496,134.0,MS,US,MS,False,False
KMPG,MPG,Moundsvill,39.880798,-80.735802,1214.0,WV,US,WV,False,False
KMPI,MPI,Mariposa,37.5108985901,-120.040000916,2254.0,CA,US,CA,False,False
KMPJ,MPJ,Morrilton/Park Arpt,35.138,-92.909,281.0,AR,US,AR,False,False
KMPO,MPO,Mount Pocono Muni,41.13684,-75.37706,576.0,PA,US,PA,True,False
KMPR,MPR,McPherson Arpt,38.34912,-97.68827,455.0,KS,US,KS,True,False
KMPV,MPV,Montpelier/Knapp Arpt,44.20502,-72.56545,336.0,VT,US,VT,True,True
KMPZ,MPZ,Mount Pleasant Muni,40.94526,-91.51224,222.0,IA,US,IA,True,False
KMQB,MQB,Macomb Muni,40.51763,-90.6481,205.0,IL,US,IL,True,False
KMQE,,Milton/Blue Hills Observatory,42.212,-71.114,192.0,MA,US,MA,True,False
KMQI,MQI,Manteo/Dare Cnty,35.91881,-75.69887,3.0,NC,US,NC,True,False
KMQJ,MQJ,Indianapolis Rgnl,39.84017,-85.89404,262.0,IN,US,IN,True,False
KMQM,,Monida,44.57,-112.32,2068.0,MT,US,MT,False,False
KMQS,MQS,Coatesville/Chester Cnty,39.9773,-75.86046,200.0,PA,US,PA,True,False
KMQT,,Marquette/NEXRAD,46.531,-87.548,434.0,MI,US,MI,False,False
KMQW,MQW,McRae-Helena/Telfair-Wheeler Arpt,32.0942,-82.88202,62.0,GA,US,GA,True,False
KMQY,MQY,Smyrna Arpt,36.0029,-86.51437,156.0,TN,US,TN,True,True
KMRB,MRB,Martinsburg/E West Virginia Rgnl,39.40374,-77.97499,165.0,WV,US,WV,True,True
KMRC,MRC,Columbia/Maury Cnty,35.55787,-87.17778,205.0,TN,US,TN,True,False
KMRF,MRF,Marfa Muni,30.37065,-104.01173,1476.0,TX,US,TX,True,False
KMRH,MRH,Beaufort/Smith Fld,34.73258,-76.65659,2.0,NC,US,NC,True,False
KMRJ,MRJ,Mineral Point/Iowa Cnty,42.88752,-90.23151,350.0,WI,US,WI,True,False
KMRN,MRN,Morganton/Foothills Rgnl,35.81917,-81.6097,375.0,NC,US,NC,True,False
KMRT,MRT,Marysville/Union Cnty,40.22372,-83.34745,302.0,OH,US,OH,True,False
KMRX,,Morristown/NEXRAD,36.168,-83.402,410.0,TN,US,TN,False,False
KMRY,MRY,Monterey Rgnl,36.59041,-121.84881,51.0,CA,US,CA,True,True
KMSA,,Mount Pleasant-,33.13,-94.98,117.0,TX,US,TX,False,False
KMSL,MSL,Muscle Shoals/NW Alabama Rgnl,34.74388,-87.59971,170.0,AL,US,AL,True,True
KMSN,MSN,Madison/Dane Cnty Rgnl,43.14068,-89.34523,262.0,WI,US,WI,True,True
KMSO,MSO,Missoula Intl,46.92076,-114.09376,974.0,MT,US,MT,True,True
KMSP,MSP,Minneapolis-St Paul Intl,44.88523,-93.23132,255.0,MN,US,MN,True,True
KMSS,MSS,Massena Intl,44.93343,-74.84836,60.0,NY,US,NY,True,True
KMSV,MSV,Monticello/Sullivan Cnty,41.70561,-74.80039,427.0,NY,US,NY,True,False
KMSX,,Missoula/NEXRAD,47.041,-113.986,2421.0,MT,US,MT,False,False
KMSY,MSY,New Orleans/Armstrong Intl,29.99739,-90.27773,0.0,LA,US,LA,True,True
KMTC,MTC,Selfridge ANGB,42.60452,-82.83534,177.0,MI,US,MI,True,True
KMTH,MTH,Marathon Arpt,24.72625,-81.04772,1.0,FL,US,FL,True,True
KMTJ,MTJ,Montrose Rgnl,38.50538,-107.89813,1755.0,CO,US,CO,True,True
KMTK,MTK,South Pass 89E,28.6967,-89.3958,50.0,LA,US,LA,False,False
KMTN,MTN,Baltimore/Martin State Arpt,39.32145,-76.40653,2.0,MD,US,MD,True,True
KMTO,MTO,Mattoon/Coles Cnty,39.47439,-88.27237,216.0,IL,US,IL,True,False
KMTP,MTP,Montauk Arpt,41.07304,-71.92352,2.0,NY,US,NY,True,False
KMTR,,Monterey/WFO,36.6,-121.87,16.0,CA,US,CA,False,False
KMTV,MTV,Martinsville/Blue Ridge Arpt,36.6272,-80.01337,276.0,VA,US,VA,True,False
KMTW,MTW,Manitowoc Muni,44.13218,-87.68186,197.0,WI,US,WI,True,True
KMTX,,Salt Lake/NEXRAD,41.263,-112.448,1972.0,UT,US,UT,False,False
KMUI,MUI,Fort Indiantown Gap/Muir AAF,40.43807,-76.56432,146.0,PA,US,PA,True,True
KMUL,MUL,Moultrie/Spence Arpt,31.137,-83.704,89.0,GA,US,GA,True,False
KMUO,MUO,Mountain Home AFB,43.03,-115.859,915.0,ID,US,ID,True,True
KMUT,MUT,Muscatine Muni,41.36703,-91.14059,166.0,IA,US,IA,True,False
KMUX,,Monterey/NEXRAD,37.155,-121.898,1059.0,CA,US,CA,False,False
KMVC,MVC,Monroeville/Monroe Cnty,31.458,-87.351,128.0,AL,US,AL,False,False
KMVE,MVE,Montevideo/Chippewa Cnty,44.96748,-95.71158,319.0,MN,US,MN,True,False
KMVH,MVH,N Bar Ranch Arpt,46.838,-108.936,1352.0,MT,US,MT,True,False
KMVI,MVI,Monte Vista Muni,37.529,-106.046,2320.0,CO,US,CO,False,False
KMVL,MVL,Morrisville-Stowe State Arpt,44.5328,-72.61523,226.0,VT,US,VT,True,False
KMVM,MVM,Machias Valley Arpt,44.69979,-67.4759,29.0,ME,US,ME,False,False
KMVN,MVN,Mount Vernon Arpt,38.32841,-88.85295,145.0,IL,US,IL,True,True
KMVY,MVY,Marthas Vineyard Arpt,41.39297,-70.61591,18.0,MA,US,MA,True,False
KMWA,MWA,Marion Rgnl,37.75439,-89.01181,142.0,IL,US,IL,True,False
KMWC,MWC,Milwaukee/Timmerman Arpt,43.10954,-88.03432,225.0,WI,US,WI,True,False
KMWH,MWH,Moses Lake/Grant Cnty,47.19295,-119.31459,355.0,WA,US,WA,True,True
KMWK,MWK,Mt Airy/Surry Cnty,36.45676,-80.55485,374.0,NC,US,NC,True,False
KMWL,MWL,Mineral Wells Arpt,32.78155,-98.06022,288.0,TX,US,TX,True,False
KMWM,MWM,Windom Muni,43.90998,-95.10728,427.0,MN,US,MN,True,False
KMWN,,Mount Washington,44.271,-71.304,1911.0,NH,US,NH,True,False
KMWO,MWO,Middletown/Hook Fld,39.53238,-84.39735,197.0,OH,US,OH,True,False
KMWS,,Mount Wilson,34.226,-118.057,1745.0,CA,US,CA,True,False
KMWT,,Mount Ida,34.54665,-93.57794,220.0,AR,US,AR,True,False
KMXA,MXA,Manila Muni,35.894,-90.155,74.0,AR,US,AR,False,False
KMXF,MXF,Maxwell AFB,32.38768,-86.37236,47.0,AL,US,AL,True,True
KMXO,MXO,Monticello Rgnl,42.22032,-91.16044,251.0,IA,US,IA,True,False
KMYF,MYF,San Diego/Montgomery Arpt,32.81453,-117.13747,128.0,CA,US,CA,True,False
KMYJ,MYJ,Mexico Mem,39.15612,-91.81292,249.0,MO,US,MO,True,False
KMYL,MYL,McCall Muni,44.89426,-116.09977,1532.0,ID,US,ID,True,True
KMYP,MYP,Monarch Pass,38.49716,-106.32001,3629.0,CO,US,CO,True,False
