cluster_label,corridor
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Philadelphia -> South Florida
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Atlanta
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Bay Area
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Dallas
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
