corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Seattle -> Detroit,8.0,4.0,12.0,0.0,8.0,8.0,12.0,16.0,24.0,4.0,0.0,4.0,1,summer-peak,12.5
Philadelphia -> Denver,0.0,0.0,0.0,4.35,8.7,17.39,34.78,8.7,13.04,8.7,0.0,4.35,1,summer-peak,11.5
New York City -> Chicago,4.83,6.28,6.01,7.1,10.2,8.2,8.01,8.93,10.29,11.84,10.66,7.65,2,core-utilization,549.0
Chicago -> New York City,4.99,5.31,6.24,6.87,10.2,10.93,8.22,8.95,11.55,11.24,9.26,6.24,2,core-utilization,480.5
Charlotte -> New York City,4.7,5.4,6.45,9.41,8.89,11.15,7.67,7.84,9.93,12.2,9.41,6.97,2,core-utilization,287.0
Boston -> Chicago,3.56,4.68,4.49,4.12,10.49,8.43,11.8,11.42,14.79,11.42,8.43,6.37,2,core-utilization,267.0
Chicago -> Boston,3.88,3.49,4.26,4.26,10.66,9.88,11.24,12.79,9.69,13.76,9.88,6.2,2,core-utilization,258.0
Boston -> Charlotte,3.59,4.59,5.99,7.58,10.58,8.38,11.98,9.98,10.38,11.78,8.38,6.79,2,core-utilization,250.5
Nashville -> New York City,3.18,4.4,5.62,7.82,10.27,9.05,6.11,10.27,10.02,12.47,10.27,10.51,2,core-utilization,204.5
St. Louis -> New York City,6.23,4.94,7.53,4.16,7.53,8.31,8.31,7.79,15.06,11.17,9.35,9.61,2,core-utilization,192.5
New York City -> St. Louis,5.71,6.29,7.71,6.29,8.57,9.14,6.86,7.43,13.43,11.71,8.86,8.0,2,core-utilization,175.0
Minneapolis -> Dallas,6.52,6.21,2.8,6.52,11.8,10.56,8.7,8.7,10.56,11.49,9.32,6.83,2,core-utilization,161.0
Dallas -> Minneapolis,4.44,3.7,6.3,5.93,7.41,9.63,9.63,9.26,14.07,14.07,8.52,7.04,2,core-utilization,135.0
Minneapolis -> New York City,7.66,3.83,7.28,4.98,8.05,6.51,11.11,9.2,15.33,9.58,8.81,7.66,2,core-utilization,130.5
Houston -> Charlotte,4.17,4.17,4.58,11.67,7.5,13.75,9.17,10.42,8.33,11.25,8.75,6.25,2,core-utilization,120.0
Chicago -> Charlotte,2.54,3.81,6.78,8.47,11.02,11.02,11.44,7.63,11.02,8.9,8.9,8.47,2,core-utilization,118.0
