corridor,month,density_pct,cluster_label
Nashville -> South Florida,Apr,9.97,winter-spring-peak
Nashville -> South Florida,May,9.38,winter-spring-peak
Nashville -> South Florida,Jun,5.06,winter-spring-peak
Nashville -> South Florida,Jul,4.02,winter-spring-peak
Nashville -> South Florida,Aug,5.36,winter-spring-peak
Nashville -> South Florida,Sep,4.61,winter-spring-peak
Nashville -> South Florida,Oct,7.59,winter-spring-peak
Nashville -> South Florida,Nov,9.97,winter-spring-peak
Nashville -> South Florida,Dec,11.9,winter-spring-peak
Nashville -> St. Louis,Jan,3.7,winter-spring-peak
Nashville -> St. Louis,Feb,11.11,winter-spring-peak
Nashville -> St. Louis,Mar,18.52,winter-spring-peak
Nashville -> St. Louis,Apr,14.81,winter-spring-peak
Nashville -> St. Louis,May,14.81,winter-spring-peak
Nashville -> St. Louis,Jun,3.7,winter-spring-peak
Nashville -> St. Louis,Jul,0.0,winter-spring-peak
Nashville -> St. Louis,Aug,3.7,winter-spring-peak
Nashville -> St. Louis,Sep,0.0,winter-spring-peak
Nashville -> St. Louis,Oct,0.0,winter-spring-peak
Nashville -> St. Louis,Nov,25.93,winter-spring-peak
Nashville -> St. Louis,Dec,3.7,winter-spring-peak
New York City -> Pittsburgh,Jan,10.0,winter-spring-peak
New York City -> Pittsburgh,Feb,16.0,winter-spring-peak
New York City -> Pittsburgh,Mar,8.0,winter-spring-peak
New York City -> Pittsburgh,Apr,4.0,winter-spring-peak
New York City -> Pittsburgh,May,8.0,winter-spring-peak
New York City -> Pittsburgh,Jun,6.0,winter-spring-peak
New York City -> Pittsburgh,Jul,10.0,winter-spring-peak
New York City -> Pittsburgh,Aug,6.0,winter-spring-peak
New York City -> Pittsburgh,Sep,2.0,winter-spring-peak
New York City -> Pittsburgh,Oct,14.0,winter-spring-peak
New York City -> Pittsburgh,Nov,6.0,winter-spring-peak
New York City -> Pittsburgh,Dec,10.0,winter-spring-peak
New York City -> South Florida,Jan,10.44,winter-spring-peak
New York City -> South Florida,Feb,9.79,winter-spring-peak
New York City -> South Florida,Mar,11.63,winter-spring-peak
New York City -> South Florida,Apr,9.46,winter-spring-peak
New York City -> South Florida,May,7.84,winter-spring-peak
New York City -> South Florida,Jun,5.52,winter-spring-peak
New York City -> South Florida,Jul,2.97,winter-spring-peak
New York City -> South Florida,Aug,4.06,winter-spring-peak
New York City -> South Florida,Sep,4.54,winter-spring-peak
New York City -> South Florida,Oct,9.25,winter-spring-peak
New York City -> South Florida,Nov,11.25,winter-spring-peak
New York City -> South Florida,Dec,13.25,winter-spring-peak
North Florida -> Atlanta,Jan,18.0,winter-spring-peak
North Florida -> Atlanta,Feb,4.0,winter-spring-peak
North Florida -> Atlanta,Mar,16.0,winter-spring-peak
North Florida -> Atlanta,Apr,2.0,winter-spring-peak
North Florida -> Atlanta,May,20.0,winter-spring-peak
