rank,w_TI,w_SI,w_LI,lift,spearman,top_decile_rph,verdict
198,0.2,0.1,0.7,1.0154402186760025,-0.07873259043408579,7083.738045046603,Low Corr
199,0.1,0.2,0.7,1.0151064651180406,-0.06095227875090954,7081.409771325784,Low Corr
200,0.05,0.3,0.65,1.014893589903122,-0.04539299205823966,7079.924748149598,Low Corr
201,0.2,0.15,0.65,1.014699317725184,-0.06297709460997515,7078.5695002554885,Low Corr
202,0.1,0.3,0.6,1.0145353048877912,-0.03120964077401153,7077.425342327975,Low Corr
203,0.15,0.2,0.65,1.014230821372229,-0.053708835701090134,7075.301257203506,Low Corr
204,0.15,0.1,0.75,1.0140583192425896,-0.08176559757993071,7074.097877746888,Low Corr
205,0.0,0.35,0.65,1.0140319527093564,-0.013577424895527348,7073.913944107915,Low Corr
206,0.1,0.25,0.65,1.013926700405983,-0.046207424367079544,7073.179701232735,Low Corr
207,0.05,0.2,0.75,1.0138474391392815,-0.06267313360397424,7072.626772522501,Low Corr
208,0.15,0.15,0.7,1.0137378793324727,-0.06870106021253572,7071.862480388483,Low Corr
209,0.15,0.3,0.55,1.0137373639109997,-0.017252911324104354,7071.858884794541,Low Corr
210,0.3,0.0,0.7,1.0136029263734994,-0.09173195606519122,7070.921044947786,Low Corr
211,0.05,0.35,0.6,1.013553728560367,-0.0097659919244562,7070.577839691377,Low Corr
212,0.0,0.3,0.7,1.013485131151269,-0.05752148751043651,7070.099302336165,Low Corr
213,0.1,0.15,0.75,1.0134791632049924,-0.07542009116370467,7070.05766978379,Low Corr
214,0.2,0.0,0.8,1.012015430305412,-0.09772743323966925,7059.846630041771,Low Corr
215,0.05,0.15,0.8,1.0110813277561437,-0.08013515887432356,7053.330305747609,Low Corr
216,0.0,0.2,0.8,1.0103879211828923,-0.08252687040984108,7048.493083000975,Low Corr
217,0.0,0.15,0.85,1.0102135349808443,-0.08589491294757685,7047.276560204991,Low Corr
218,0.1,0.1,0.8,1.009379793976288,-0.08538558224775197,7041.460360723164,Low Corr
219,0.05,0.1,0.85,1.0092007175218272,-0.08643027815163822,7040.211118601268,Low Corr
220,0.0,0.05,0.95,1.0091305252588059,-0.09324243010434713,7039.7214555025585,Low Corr
221,0.2,0.05,0.75,1.0089130324507019,-0.0888237989194651,7038.204219873168,Low Corr
222,0.0,0.25,0.75,1.008701013097341,-0.06106554795222754,7036.725167210032,Low Corr
223,0.05,0.05,0.9,1.0086915428297842,-0.08784961874575603,7036.659102371005,Low Corr
224,0.0,0.0,1.0,1.0084534035247374,-0.12026814991867879,7034.9978362283455,Low Corr
225,0.05,0.25,0.7,1.0084347802501066,-0.0536139051094748,7034.867919767878,Low Corr
226,0.15,0.05,0.8,1.0080276014904492,-0.09016990737819329,7032.027429881945,Low Corr
227,0.0,0.1,0.9,1.0079299790741019,-0.09255678524053806,7031.34641330213,Low Corr
228,0.1,0.05,0.85,1.0059987454222004,-0.09105093121563373,7017.874075844701,Low Corr
229,0.15,0.0,0.85,1.0048213805621937,-0.09976132376205843,7009.660747183557,Low Corr
230,0.1,0.0,0.9,1.004370220546752,-0.1001648208796212,7006.513442884387,Low Corr
231,0.05,0.0,0.95,1.0039455465238047,-0.10040265522982235,7003.550905575184,Low Corr
