AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,DMV -> South Florida,Nov,10.4,winter-spring-peak,9%-12%,3
Light Jet,DMV -> South Florida,Dec,13.09,winter-spring-peak,12%-15%,4
Light Jet,Dallas -> Phoenix Valley,Jan,9.39,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> Phoenix Valley,Feb,11.2,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> Phoenix Valley,Mar,11.04,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> Phoenix Valley,Apr,8.57,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> Phoenix Valley,May,8.57,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> Phoenix Valley,Jun,5.6,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> Phoenix Valley,Jul,2.14,winter-spring-peak,< 4%,0
Light Jet,Dallas -> Phoenix Valley,Aug,5.6,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> Phoenix Valley,Sep,7.08,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> Phoenix Valley,Oct,9.39,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> Phoenix Valley,Nov,11.7,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> Phoenix Valley,Dec,9.72,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> San Antonio,Jan,17.74,winter-spring-peak,> 15%,5
Light Jet,Dallas -> San Antonio,Feb,11.29,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> San Antonio,Mar,14.52,winter-spring-peak,12%-15%,4
Light Jet,Dallas -> San Antonio,Apr,8.06,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> San Antonio,May,8.06,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> San Antonio,Jun,3.23,winter-spring-peak,< 4%,0
Light Jet,Dallas -> San Antonio,Jul,4.84,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> San Antonio,Aug,4.84,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> San Antonio,Sep,1.61,winter-spring-peak,< 4%,0
Light Jet,Dallas -> San Antonio,Oct,0.0,winter-spring-peak,< 4%,0
Light Jet,Dallas -> San Antonio,Nov,20.97,winter-spring-peak,> 15%,5
Light Jet,Dallas -> San Antonio,Dec,4.84,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> South Florida,Jan,9.82,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> South Florida,Feb,12.12,winter-spring-peak,12%-15%,4
Light Jet,Dallas -> South Florida,Mar,11.2,winter-spring-peak,9%-12%,3
