AircraftType,corridor,month,seasonality_index,cluster_label,slab,intensity
Light Jet,DMV -> Minneapolis,Mar,0.35,core-utilization,< 0.5x,0
Light Jet,DMV -> Minneapolis,Apr,1.15,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> Minneapolis,May,1.24,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> Minneapolis,Jun,1.41,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> Minneapolis,Jul,1.06,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> Minneapolis,Aug,1.15,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> Minneapolis,Sep,1.41,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> Minneapolis,Oct,1.06,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> Minneapolis,Nov,0.97,core-utilization,0.7x-1.0x,2
Light Jet,DMV -> Minneapolis,Dec,0.62,core-utilization,0.5x-0.7x,1
Light Jet,DMV -> San Antonio,Jan,0.24,core-utilization,< 0.5x,0
Light Jet,DMV -> San Antonio,Feb,1.47,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> San Antonio,Mar,0.0,core-utilization,< 0.5x,0
Light Jet,DMV -> San Antonio,Apr,1.22,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> San Antonio,May,1.22,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> San Antonio,Jun,1.96,core-utilization,>= 1.6x,5
Light Jet,DMV -> San Antonio,Jul,0.49,core-utilization,< 0.5x,0
Light Jet,DMV -> San Antonio,Aug,0.73,core-utilization,0.7x-1.0x,2
Light Jet,DMV -> San Antonio,Sep,1.22,core-utilization,1.0x-1.3x,3
Light Jet,DMV -> San Antonio,Oct,1.47,core-utilization,1.3x-1.6x,4
Light Jet,DMV -> San Antonio,Nov,1.22,core-utilization,1.0x-1.3x,3
